Thread ID: 214780
Total: 6.709303

 %self     total     self     wait    child    calls  name
 12.92      1.28     0.87     0.00     0.42     1000  Array#select
  6.13      0.73     0.41     0.00     0.32      400  Array#map
  6.05      0.41     0.41     0.00     0.00   202900  Hash#key?
  5.36      2.19     0.36     0.00     1.83     7102  Array#each
  4.85      0.33     0.33     0.00     0.00     5000  Module#constants
  2.61      0.27     0.18     0.00     0.10    44300  Kernel#__send__
  2.55      2.31     0.17     0.00     2.14     4000  Array#collect
  2.34      0.21     0.16     0.00     0.05    20700  Set#add
  2.27      0.20     0.15     0.00     0.05    20000  Set#delete
  1.79      0.12     0.12     0.00     0.00      700  Array#-
  1.50      0.27     0.10     0.00     0.16     6700  Array#each-1
  1.44      0.10     0.10     0.00     0.00    50100  String#to_s
  1.38      0.09     0.09     0.00     0.00      200  Kernel#gem_original_require
  1.31      0.09     0.09     0.00     0.00    44100  Array#shift
  1.16      0.09     0.08     0.00     0.01     4700  String#gsub
  1.15      0.08     0.08     0.00     0.00    29500  Hash#[]=
  0.97      0.10     0.07     0.00     0.03    20601  Hash#[]
  0.96      0.06     0.06     0.00     0.00     1700  Kernel#caller
  0.95      0.14     0.06     0.00     0.07     2200  Dependencies#qualified_const_defined?
  0.90      0.06     0.06     0.00     0.00      200  Module#public_instance_methods
  0.78      0.05     0.05     0.00     0.00    21100  Hash#delete
  0.72      0.23     0.05     0.00     0.19     1500  Dependencies#log_call
  0.71      0.80     0.05     0.00     0.75      200  Kernel#load_without_new_constant_marking
  0.59      0.10     0.04     0.00     0.06     1300  Hash#each
  0.57      0.04     0.04     0.00     0.01     2500  <Class::Proc>#new
  0.50      0.03     0.03     0.00     0.00     3500  <Class::File>#file?
  0.44      2.64     0.03     0.00     2.61      400  Dependencies#new_constants_in
  0.39      0.04     0.03     0.00     0.01     2900  Dependencies#log
  0.39      0.03     0.03     0.00     0.00      100  <Module::SQLite3::Driver::Native::API>#sqlite3_prepare
  0.38      0.03     0.03     0.00     0.00     4800  String#blank?
  0.37      0.03     0.03     0.00     0.00     5600  String#split
  0.36      0.02     0.02     0.00     0.00      200  <Class::Dir>#[]
  0.35      0.08     0.02     0.00     0.06     1400  ActionView::Base#find_full_template_path
  0.35      0.08     0.02     0.00     0.05      700  ActiveSupport::BufferedLogger#add
  0.31      1.20     0.02     0.00     1.18     2901  Class#new
  0.31      0.04     0.02     0.00     0.02     1200  Kernel#dup
  0.31      2.22     0.02     0.00     2.20      200  Dependencies#load_missing_constant
  0.31      0.07     0.02     0.00     0.05     1700  Mime::Type#==
  0.29      0.15     0.02     0.00     0.13      100  <Class::Mime::Type>#parse
  0.29      0.05     0.02     0.00     0.03     8200  String#==
  0.29      0.06     0.02     0.00     0.04      700  Mime::Type::AcceptItem#initialize
  0.29      0.03     0.02     0.00     0.01     8600  Hash#default
  0.26      1.73     0.02     0.00     1.71     1000  Module#local_constants
  0.26      1.93     0.02     0.00     1.91      200  Dependencies#require_or_load
  0.24      6.69     0.02     0.00     6.67      100  ActionController::Integration::Session#process
  0.24      0.11     0.02     0.00     0.09     1200  ActionView::Base#template_exists?
